All	HP:0000001
Faciès distinctifs	HP:0001999
Faciès inhabituels	HP:0001999
Apparence faciale inhabituelle	HP:0001999
Forme du visage anormale	HP:0001999
Caractéristiques faciales dysmorphiques	HP:0001999
Déformation du visage	HP:0001999
Faciès dysmorphiques	HP:0001999
Malformation du visage	HP:0001999
Morphologie anormale du visage	HP:0001999
Distorsion du visage	HP:0001999
Dysmorphie faciale	HP:0001999
Visage drôle	HP:0001999
Columelle courte	HP:0002000
Hypoplasie de la columelle	HP:0002000
Columelle, courte	HP:0002000
Diminution de la longueur de la columelle	HP:0002000
Philtrum profond	HP:0002002
Philtrum prononcé	HP:0002002
Philtrum proéminent	HP:0002002
Augmentation de la profondeur du philtrum	HP:0002002
Philtrum, profond	HP:0002002
Philtrum déprimé	HP:0002002
Grand front	HP:0002003
Hypertrophie du front	HP:0002003
Augmentation de la taille du front	HP:0002003
Hyperplasie du front	HP:0002003
Grand front	HP:0002003
Augmentation de la taille de la région frontale du visage	HP:0002003
Fente faciale	HP:0002006
Fente faciale	HP:0002006
Fentes faciales	HP:0002006
Fente du visage	HP:0002006
Fente faciale de Tessier	HP:0002006
Bossage frontal	HP:0002007
Protrubérance frontale	HP:0002007
Bossage du crâne	HP:0002007
Faciès de Potter	HP:0002009
Maxillaire étroit	HP:0002010
Déficience maxillaire transversale	HP:0002010
Diminution de la largeur des os de la mâchoire supérieure	HP:0002010
Diminution de la largeur des os de la mâchoire supérieure	HP:0002010
Os de la mâchoire supérieure étroits	HP:0002010
Hypoplasie transversale du maxillaire	HP:0002010
Diminution de la dimension transversale du maxillaire	HP:0002010
Diminution de la largeur du maxillaire	HP:0002010
Insuffisance maxillaire transversale	HP:0002010
Anomalie morphologique du système nerveux central	HP:0002011
Anomalie morphologique du SNC	HP:0002011
Anomalie du système nerveux central	HP:0002011
Maladie du système nerveux central	HP:0002011
Anomalie morphologique du système nerveux central	HP:0002011
Anomalie des organes abdominaux	HP:0002012
Anomalie des organes abdominaux	HP:0002012
Malformations du tractus gastro-intestinal	HP:0002012
Vomissement	HP:0002013
Vomir	HP:0002013
Vomissement	HP:0002013
Émesis	HP:0002013
diarrhée	HP:0002014
Tabouret aqueux	HP:0002014
diarrhée	HP:0002014
diarrhée	HP:0002014
dysphagie	HP:0002015
Mauvaise déglutition	HP:0002015
Avaler de la difficulté	HP:0002015
Trouble de la déglutition	HP:0002015
Avaler des difficultés	HP:0002015
Difficulté à avaler	HP:0002015
Nausée et vomissements	HP:0002017
Nausée et vomissements	HP:0002017
nausée	HP:0002018
Nausea	HP:0002018
Constipation	HP:0002019
Dyschezie	HP:0002019
rentabilité	HP:0002019
Constipation	HP:0002019
Reflux gastro-oesophagien	HP:0002020
Reflux d'acide	HP:0002020
GERD	HP:0002020
Reflux gastro-œsophagien	HP:0002020
Reflux gastro-œsophagien	HP:0002020
Brûlures d'estomac	HP:0002020
Maladie de reflux acide	HP:0002020
Sténose pylorique	HP:0002021
Atrésie anale	HP:0002023
Imperforation de l'anus	HP:0002023
Absence d'anus	HP:0002023
Malabsorption	HP:0002024
Malabsorption intestinale	HP:0002024
Malabsorption	HP:0002024
Sténose anale	HP:0002025
Rétrécissement de l'ouverture anale	HP:0002025
Douleur abdominale	HP:0002027
Douleur d'estomac	HP:0002027
Douleur gastro	HP:0002027
Douleur abdominale	HP:0002027
Douleur à l'estomac	HP:0002027
Douleur abdominale	HP:0002027
Douleurs gastro-intestinales	HP:0002027
Maux d'estomac	HP:0002027
Diarrhée chronique	HP:0002028
Diarrhée récurrente	HP:0002028
Diarrhée chronique	HP:0002028
Diarrhée chronique	HP:0002028
Diarrhée, récurrente	HP:0002028
Morphologie anormale de l'œsophage	HP:0002031
Anomalie de la structure de l'œsophage	HP:0002031
Morphologie anormale de l'œsophage	HP:0002031
Anomalie de l'œsophage	HP:0002031
Atrésie œsophagienne	HP:0002032
Anomalie congénitale dans laquelle une partie de l'œsophage ne s'est pas développée	HP:0002032
Pauvre sucer	HP:0002033
Pauvre sucer	HP:0002033
Sucer la faiblesse	HP:0002033
Mauvaise succion	HP:0002033
Morphologie anormale du rectum	HP:0002034
Anomalie du rectum	HP:0002034
Anomalie du rectum	HP:0002034
Prolapsus rectal	HP:0002035
rectum fait saillie à travers l'anus	HP:0002035
Prolapsus rectal	HP:0002035
Hernie hiatale	HP:0002036
Hernie hiatale	HP:0002036
Hernie de l'estomac	HP:0002036
Inflammation du gros intestin	HP:0002037
Maladie inflammatoire de l'intestin	HP:0002037
Inflammation du gros intestin	HP:0002037
Évitement des protéines	HP:0002038
Anorexie	HP:0002039
Anorexie	HP:0002039
Varix œsophagienne	HP:0002040
Varices oesophagiennes	HP:0002040
Élargissement de la veine dans l'œsophage	HP:0002040
Diarrhée intraitable	HP:0002041
Diarrhée intraitable	HP:0002041
Sténose œsophagienne	HP:0002043
Rétrécissement de l'œsophage en raison de l'inflammation et du tissu cicatriciel	HP:0002043
Syndrome de Zollinger-Ellison	HP:0002044
Hypothermie	HP:0002045
Température corporelle anormalement basse	HP:0002045
Hypothermie	HP:0002045
Intolérance à la chaleur	HP:0002046
Intolérance à la chaleur	HP:0002046
Intolérance à la chaleur et aux fièvres	HP:0002046
Hyperthermie maligne	HP:0002047
Hyperthermie maligne avec anesthésie	HP:0002047
Atrophie corticale rénale	HP:0002048
Acidose tubulaire rénale proximale	HP:0002049
Acidose tubulaire rénale, proximale	HP:0002049
Acidose tubulaire rénale, type II	HP:0002049
Acidose tubulaire proximale	HP:0002049
Macroorchidie, postpubère	HP:0002050
Crêtes supraorbitaires lourdes	HP:0002054
Front lourd du visage	HP:0002054
Crête supraorbitaire lourde	HP:0002054
Fossette linéaire incurvée sous la lèvre inférieure	HP:0002055
Anomalie de la glabelle	HP:0002056
Malformation de la zone entre les sourcils	HP:0002056
Anomalie de la zone entre les sourcils	HP:0002056
Anomalie glabellaire	HP:0002056
Déformation de la zone entre les sourcils	HP:0002056
Glabelle proéminente	HP:0002057
Zone saillante entre les sourcils	HP:0002057
Zone proéminente entre les sourcils	HP:0002057
Glabelle convexe	HP:0002057
Hyperplasie de la glabelle	HP:0002057
Faciès myopathiques	HP:0002058
Visage myopathique	HP:0002058
Apparence faciale myopathique	HP:0002058
Atrophie cérébrale	HP:0002059
Atrophie supratentorielle	HP:0002059
Dégénérescence du cerveau	HP:0002059
Morphologie cérébrale anormale	HP:0002060
Anomalie du cerveau	HP:0002060
Anomalie du télencéphale	HP:0002060
Spasticité des membres inférieurs	HP:0002061
Anomalie morphologique du tractus pyramidal	HP:0002062
Maladie des voies pyramidales	HP:0002062
Anomalie des étendues pyramidales	HP:0002062
Rigidité	HP:0002063
Rigidité	HP:0002063
Rigidité musculaire	HP:0002063
Démarche spastique	HP:0002064
Marche spastique	HP:0002064
Ataxie de la marche	HP:0002066
Démarche ataxique	HP:0002066
Incapacité à coordonner les mouvements lors de la marche	HP:0002066
Ataxie de la marche	HP:0002066
Bradykinésie	HP:0002067
Mouvements lents	HP:0002067
Lenteur des mouvements	HP:0002067
Dysphagie neuromusculaire	HP:0002068
Crise tonico-clonique bilatérale	HP:0002069
Crises convulsives bilatérales	HP:0002069
Crise généralisée tonico-clonique (sans indication de début)	HP:0002069
Crises, tonico-cloniques	HP:0002069
Convulsion tonico-clonique	HP:0002069
Convulsion généralisée	HP:0002069
grand mal	HP:0002069
Crise généralisée tonico-clonique (sans indication de début)	HP:0002069
Convulsions tonico-cloniques	HP:0002069
Grand mal saisies	HP:0002069
Ataxie des membres	HP:0002070
Ataxie appendiculaire	HP:0002070
Anomalie de la fonction motrice extrapyramidale	HP:0002071
Symptômes extrapyramidaux	HP:0002071
Dysfonction extrapyramidale	HP:0002071
Signes extrapyramidaux	HP:0002071
Signes des voies extrapyramidales	HP:0002071
Syndrome extrapyramidal	HP:0002071
Chorée	HP:0002072
Mouvements chorégraphiques	HP:0002072
Maladie choréatique	HP:0002072
Mouvements chorégraphiques	HP:0002072
Ataxie cérébelleuse progressive	HP:0002073
Ataxie cérébelleuse, progressive	HP:0002073
Ataxie progressive	HP:0002073
Augmentation du lipopigment autofluorescent neuronal	HP:0002074
Lipopigments neuronaux	HP:0002074
Dysdiadochokinèse	HP:0002075
Dysdiadochokinésie	HP:0002075
Difficulté à effectuer des mouvements rapides et alternés	HP:0002075
Migraine	HP:0002076
Céphalée migraineuse	HP:0002076
Migraine	HP:0002076
Migraines	HP:0002076
Migraines intermittentes	HP:0002076
Migraine avec aura	HP:0002077
Ataxie du tronc	HP:0002078
Ataxie du tronc	HP:0002078
Instabilité ou manque de coordination des muscles centraux du tronc	HP:0002078
Hypoplasie du corps calleux	HP:0002079
Petit corps calleux	HP:0002079
Corps calleux mince	HP:0002079
Sous-développement d'une partie du cerveau appelée corpus callosum	HP:0002079
Amincissement du corps calleux	HP:0002079
Corps calleux hypoplasique	HP:0002079
Hypoplasie du corps calleux	HP:0002079
Hypoplasie du corps calleux	HP:0002079
Tremblement intentionnel	HP:0002080
Tremblements cérébelleux	HP:0002080
Tremblement terminal	HP:0002080
Migraine sans aura	HP:0002083
Encéphalocèle	HP:0002084
Crâne bifide	HP:0002084
Crâne bifidum	HP:0002084
Encéphalocèle occipitale	HP:0002085
tissu cérébral dépasse à l'arrière du crâne	HP:0002085
Encéphalocèle postérieure	HP:0002085
Méningo-encéphalocèle occipitale	HP:0002085
Anomalie du système respiratoire	HP:0002086
Anomalie respiratoire	HP:0002086
Anomalie des voies respiratoires supérieures	HP:0002087
Problèmes des voies respiratoires supérieures	HP:0002087
Anomalie des voies respiratoires supérieures	HP:0002087
Morphologie pulmonaire anormale	HP:0002088
Poumon de forme anormale	HP:0002088
Les maladies pulmonaires	HP:0002088
Forme pulmonaire inhabituelle	HP:0002088
Anomalie de la structure pulmonaire	HP:0002088
Anomalie des poumons	HP:0002088
Hypoplasie pulmonaire	HP:0002089
Poumons hypoplasiques	HP:0002089
Poumons peu développés	HP:0002089
Poumon sous-développé	HP:0002089
Hypoplasie pulmonaire	HP:0002089
Poumon hypoplasique	HP:0002089
Petit poumon	HP:0002089
Pneumonie	HP:0002090
Pneumonie	HP:0002090
Défaut ventilatoire restrictif	HP:0002091
Déficit restrictif aux tests de la fonction pulmonaire	HP:0002091
Maladie pulmonaire restrictive	HP:0002091
Restriction spirométrique	HP:0002091
Déficit restrictif aux tests de la fonction pulmonaire	HP:0002091
Insuffisance respiratoire restrictive	HP:0002091
Syndrome respiratoire restrictif	HP:0002091
Maladie respiratoire restrictive	HP:0002091
Poumon ou paroi thoracique raides entraînant une diminution du volume pulmonaire	HP:0002091
Hypertension artérielle pulmonaire	HP:0002092
Augmentation de la pression artérielle dans les vaisseaux sanguins des poumons	HP:0002092
Hypertension artérielle pulmonaire	HP:0002092
Hypertension pulmonaire primaire	HP:0002092
Insuffisance respiratoire	HP:0002093
Insuffisance respiratoire	HP:0002093
Perte de la fonction respiratoire	HP:0002093
insuffisance respiratoire progressive	HP:0002093
Dyspnée	HP:0002094
Dyspnée	HP:0002094
Difficile de respirer	HP:0002094
Difficulté à respirer	HP:0002094
Difficulté respiratoire	HP:0002094
Respiration anormale	HP:0002094
Emphysème	HP:0002097
Emphysème pulmonaire	HP:0002097
Détresse respiratoire	HP:0002098
Difficulté à respirer	HP:0002098
Essoufflé	HP:0002098
Difficultés respiratoires	HP:0002098
Essoufflement	HP:0002098
Difficultés respiratoires	HP:0002098
Asthme	HP:0002099
asthme bronchique	HP:0002099
Maladie réactive des voies respiratoires	HP:0002099
Asthma	HP:0002099
Pneumonie par aspiration récurrente	HP:0002100
Lobation pulmonaire anormale	HP:0002101
Lobation pulmonaire défectueuse	HP:0002101
Défauts de segmentation pulmonaire	HP:0002101
Pleuritis	HP:0002102
Inflammation des tissus tapissant les poumons et la poitrine	HP:0002102
Pleurésie	HP:0002102
Morphologie de la plèvre anormale	HP:0002103
Anomalie de la plèvre	HP:0002103
Apnée	HP:0002104
Épisodes apnéiques	HP:0002104
Apnoea	HP:0002104
Absence de respiration spontanée	HP:0002104
Hémoptysie	HP:0002105
Hémoptysie	HP:0002105
Tousser du sang	HP:0002105
Cracher du sang ou du mucus taché de sang	HP:0002105
Pneumothorax	HP:0002107
Collapsus pulmonaire	HP:0002107
Pneumothorax spontané	HP:0002108
Effondrement spontané du poumon	HP:0002108
Anomalie obsolète des bronches	HP:0002109
Bronchectasie	HP:0002110
Augmentation permanente des voies respiratoires des poumons	HP:0002110
obsolète Déficit restrictif aux tests de la fonction pulmonaire	HP:0002111
Infiltrats pulmonaires	HP:0002113
Infiltrats pulmonaires	HP:0002113
Infiltration pulmonaire	HP:0002113
Anomalie des ventricules cérébraux	HP:0002118
Ventriculomégalie	HP:0002119
Système ventriculaire élargi	HP:0002119
Dilatation ventriculaire	HP:0002119
Ventricules élargis	HP:0002119
Ventricules cérébraux dilatés	HP:0002119
Ventricules cérébraux élargis	HP:0002119
Grands ventricules cérébraux et citernes	HP:0002119
Ventricules dilatés	HP:0002119
Ventricule cérébral dilaté	HP:0002119
Dilatation ventriculaire cérébrale	HP:0002119
Atrophie corticale cérébrale	HP:0002120
Atrophie du cortex cérébral	HP:0002120
Atrophie corticale	HP:0002120
Diminution de la taille de la couche externe du cerveau due à la perte de cellules cérébrales	HP:0002120
Crise non motrice généralisée (absence)	HP:0002121
Crises d'absence	HP:0002121
Crises de petit mal	HP:0002121
Absence épileptique	HP:0002121
Crise non motrice généralisée (absence)	HP:0002121
Crise non motrice généralisée	HP:0002121
De brèves crises avec des sorts de regard	HP:0002121
Petit mal	HP:0002121
Crise de petit mal	HP:0002121
Crise myoclonique généralisée	HP:0002123
Crises myocloniques généralisées	HP:0002123
Crises myocloniques généralisées	HP:0002123
Épilepsie myoclonique, progressive	HP:0002123
Crise myoclonique généralisée	HP:0002123
Myoclonie épileptique généralisée	HP:0002123
Crises de myoclonie	HP:0002123
Myoclonie épileptique généralisée	HP:0002123
Polymicrogyrie	HP:0002126
Plus de rainures dans le cerveau	HP:0002126
Morphologie anormale du motoneurone supérieur	HP:0002127
Forme anormale du motoneurone supérieur	HP:0002127
Ataxie épisodique	HP:0002131
Ataxie paroxystique	HP:0002131
Ataxie cérébelleuse intermittente	HP:0002131
Kyste porencéphalique	HP:0002132
Cavité dans le cerveau	HP:0002132
État de mal épileptique	HP:0002133
Crises répétées sans guérison entre elles	HP:0002133
Crise prolongée	HP:0002133
Crise répétée sans récupération	HP:0002133
Anomalie des noyaux gris centraux	HP:0002134
Maladie des noyaux gris centraux	HP:0002134
Anomalie des noyaux gris centraux	HP:0002134
Calcification des noyaux gris centraux	HP:0002135
Calcification du ganglion basal	HP:0002135
Calcification des noyaux gris centraux	HP:0002135
Calcifications des noyaux gris centraux	HP:0002135
Démarche large	HP:0002136
Marche large	HP:0002136
Démarche large	HP:0002136
Démarche large	HP:0002136
Démarche large	HP:0002136
Hémorragie sous-arachnoïdienne	HP:0002138
Hémorragie sous-arachnoïdienne	HP:0002138
Arrhinencephaly	HP:0002139
AVC ischémique	HP:0002140
AVC ischémique	HP:0002140
Déséquilibre de la démarche	HP:0002141
Marche déséquilibrée	HP:0002141
Anomalie de l'équilibre	HP:0002141
Anomalie d'équilibre	HP:0002141
Anomalie de la moelle épinière	HP:0002143
Anomalie de la moelle épinière	HP:0002143
Pathologie de la moelle épinière	HP:0002143
Maladie de la moelle épinière	HP:0002143
Cordon attaché	HP:0002144
Dysraphisme spinal occulte	HP:0002144
Démence frontotemporale	HP:0002145
Hypophosphatémie	HP:0002148
Faible taux de phosphate dans le sang	HP:0002148
Hypophosphatémie	HP:0002148
Hyperuricémie	HP:0002149
Hyperuricémie	HP:0002149
Taux d'acide urique sanguin élevé	HP:0002149
Hypercalciurie	HP:0002150
Hypercalcinurie	HP:0002150
Niveaux élevés de calcium dans l'urine	HP:0002150
Augmentation du lactate sérique	HP:0002151
Taux sanguins de lactate plus élevés que la normale	HP:0002151
Augmentation du lactate sanguin	HP:0002151
Hyperprotéinémie	HP:0002152
Hyperkaliémie	HP:0002153
Taux de potassium sérique élevés	HP:0002153
Hyperglycinémie	HP:0002154
Hyperglycinémie	HP:0002154
Niveaux élevés de glycine dans le sang	HP:0002154
Hypertriglycéridémie	HP:0002155
Augmentation des taux plasmatiques de Tg	HP:0002155
Augmentation des triglycérides plasmatiques	HP:0002155
Augmentation des triglycérides sériques	HP:0002155
Augmentation des triglycérides	HP:0002155
Augmentation des niveaux de Tg en circulation	HP:0002155
Homocystinurie	HP:0002156
Niveaux élevés d'homocystine urinaire	HP:0002156
Azotémie	HP:0002157
Azotémie	HP:0002157
Excrétion de sulfate d'héparane dans l'urine	HP:0002159
Excrétion de sulfate d'héparane dans l'urine	HP:0002159
Hyperhomocystinémie	HP:0002160
Homocystinémie	HP:0002160
Homocystine sanguine élevée	HP:0002160
Hyperlysinémie	HP:0002161
Lysine sanguine élevée	HP:0002161
Ligne des cheveux postérieure basse	HP:0002162
Ligne de cheveux postérieure basse	HP:0002162
Délié bas à la nuque	HP:0002162
Dysplasie des ongles	HP:0002164
Croissance atypique des ongles	HP:0002164
Ongles dysplasiques	HP:0002164
Onychodysplasie	HP:0002164
Ptérygion des ongles	HP:0002165
Ptérygion des ongles	HP:0002165
Sensation de vibration altérée dans les membres inférieurs	HP:0002166
Diminution du sens vibratoire dans les membres inférieurs	HP:0002166
Atteinte vibratoire distale des membres inférieurs	HP:0002166
Diminution de la sensation vibratoire dans les jambes	HP:0002166
Perte sensorielle distale, en particulier sens vibratoire	HP:0002166
Diminution du sens vibratoire dans les membres inférieurs	HP:0002166
Diminution du sens vibratoire dans les membres inférieurs	HP:0002166
Sensation de vibration altérée dans les membres inférieurs	HP:0002166
Diminution du sens vibratoire des membres inférieurs	HP:0002166
Troubles neurologiques de la parole	HP:0002167
Troubles de la parole	HP:0002167
Trouble de la parole	HP:0002167
Obstacle à la parole	HP:0002167
Balayage de la parole	HP:0002168
Discours explosif	HP:0002168
Clonus	HP:0002169
Contractions et relaxations musculaires rythmiques involontaires	HP:0002169
Hémorragie intracrânienne	HP:0002170
Saignement dans le crâne	HP:0002170
Hémorragie intracrânienne	HP:0002170
Gliose	HP:0002171
Excès d'astrocytes dans le cerveau	HP:0002171
Gliose cérébrale	HP:0002171
Instabilité posturale	HP:0002172
Dépréciation de l'équilibre	HP:0002172
Déséquilibre	HP:0002172
Test de rétropulsion anormal	HP:0002172
Crises hypoglycémiques	HP:0002173
Tremblement postural	HP:0002174
Tremblements, posturaux	HP:0002174
Compression de la moelle épinière	HP:0002176
Pression sur la moelle épinière	HP:0002176
Opisthotonus	HP:0002179
Opisthotonos	HP:0002179
Neurodégénérescence	HP:0002180
Trouble neurodégénératif progressif	HP:0002180
Maladie neurodégénérative	HP:0002180
Perte continue de cellules nerveuses	HP:0002180
Maladie neuro-dégénérative	HP:0002180
Œdème cérébral	HP:0002181
Œdème cérébral	HP:0002181
Œdème cérébral	HP:0002181
Gonflement du cerveau	HP:0002181
Œdème cérébral	HP:0002181
Œdème cérébral	HP:0002181
Phonophobie	HP:0002183
Peur des sons forts	HP:0002183
Enchevêtrements neurofibrillaires	HP:0002185
Enchevêtrements neurofibrillaires composés de microtubules désordonnés dans les neurones	HP:0002185
Filaments hélicoïdaux appariés	HP:0002185
Apraxie	HP:0002186
Apraxies	HP:0002186
Déficience intellectuelle, profonde	HP:0002187
Retard mental profond	HP:0002187
QI inférieur à 20	HP:0002187
Retard mental, profond	HP:0002187
Myélinisation retardée du SNC	HP:0002188
Retard de la myélinisation du système nerveux central	HP:0002188
obsolète Somnolence diurne excessive	HP:0002189
Kyste du plexus choroïde	HP:0002190
Spasticité progressive	HP:0002191
Spasticité, progressive	HP:0002191
Symptômes comportementaux pseudobulbaires	HP:0002193
Symptômes comportementaux pseudobulbaires	HP:0002193
Développement moteur global retardé	HP:0002194
Motricité globale retardée	HP:0002194
Retard de développement, moteur global	HP:0002194
Retard moteur brut	HP:0002194
Développement moteur global limité	HP:0002194
Motricité retardée	HP:0002194
Dysgénèse du vermis cérébelleux	HP:0002195
Myélopathie	HP:0002196
Crise généralisée	HP:0002197
Crise généralisée	HP:0002197
Crise généralisée primaire	HP:0002197
Crise généralisée	HP:0002197
Crises généralisées	HP:0002197
Crise généralisée	HP:0002197
Crises généralisées	HP:0002197
Quatrième ventricule dilaté	HP:0002198
Élargissement du quatrième ventricule	HP:0002198
Crises hypocalcémiques	HP:0002199
Crises faibles en calcium	HP:0002199
Convulsions dues à une hypocalcémie	HP:0002199
Signes pseudobulbaires	HP:0002200
Symptômes pseudobulbaires	HP:0002200
Épanchement pleural	HP:0002202
Fluide autour des poumons	HP:0002202
Paralysie respiratoire	HP:0002203
Embolie pulmonaire	HP:0002204
Caillot sanguin dans l'artère du poumon	HP:0002204
Infections respiratoires récurrentes	HP:0002205
Infections respiratoires récurrentes	HP:0002205
infections respiratoires, récurrentes	HP:0002205
Infections respiratoires fréquentes	HP:0002205
Sensibilité aux infections respiratoires	HP:0002205
Infections respiratoires multiples	HP:0002205
Fibrose pulmonaire	HP:0002206
Infiltrations réticulaires diffuses ou finement nodulaires	HP:0002207
Les cheveux crépus	HP:0002208
Les cheveux crépus	HP:0002208
Texture de cheveux grossiers	HP:0002208
Texture de cheveux rugueux	HP:0002208
Cheveux clairsemés du cuir chevelu	HP:0002209
Cheveux clairsemés du cuir chevelu	HP:0002209
Hypotrichose du cuir chevelu	HP:0002209
Hypotrichose sur le cuir chevelu	HP:0002209
Diminution du nombre de follicules du cuir chevelu	HP:0002209
Cheveux du cuir chevelu, clairsemés	HP:0002209
cheveux clairsemés sur le cuir chevelu	HP:0002209
Réduction du nombre de follicules du cuir chevelu	HP:0002209
Cheveux fins du cuir chevelu	HP:0002209
Cheveux clairsemés et fins	HP:0002209
Diminution / manque de cheveux sur le cuir chevelu	HP:0002209
Talon blanc	HP:0002211
Poliose des cheveux antérieurs	HP:0002211
Poliose des poils du toupet	HP:0002211
Partie blanche des cheveux au-dessus du front	HP:0002211
Cheveux bouclés	HP:0002212
Cheveux bouclés	HP:0002212
Cheveux fins	HP:0002213
Cheveux fins	HP:0002213
Tige de cheveux fins	HP:0002213
Cheveux clairsemés	HP:0002213
Tige de cheveux fins	HP:0002213
Cheveux fins	HP:0002213
Texture de cheveux fins	HP:0002213
Texture de cheveux fins	HP:0002213
Cheveux axillaires clairsemés	HP:0002215
poils axillaires clairsemés à absents	HP:0002215
Poils des aisselles limités	HP:0002215
Petits poils sous les aisselles	HP:0002215
Cuir chevelu clairsemé, poils axillaires et pubiens	HP:0002215
Poils axillaires et pubiens clairsemés	HP:0002215
Grisissement prématuré des cheveux	HP:0002216
Grisonnement prématuré	HP:0002216
Grisissement prématuré des cheveux	HP:0002216
Grisissement prématuré des cheveux	HP:0002216
Grisissement prématuré des cheveux	HP:0002216
Vieillissement précoce	HP:0002216
Grisonnement prématuré	HP:0002216
Cheveux grisonnants prématurés	HP:0002216
Cheveux à croissance lente	HP:0002217
Cheveux à croissance lente	HP:0002217
Lente vitesse de croissance des cheveux	HP:0002217
Cheveux à croissance lente	HP:0002217
Faible taux de croissance des cheveux	HP:0002217
Cheveux gris argenté	HP:0002218
Cheveux gris argenté	HP:0002218
Cheveux gris argentés	HP:0002218
Couleur de cheveux gris argenté	HP:0002218
Hypertrichose faciale	HP:0002219
Augmentation de la croissance des poils du visage	HP:0002219
Agrégation de pigments de mélanine dans les tiges capillaires	HP:0002220
Cheveux axillaires absents	HP:0002221
Sourcil absent	HP:0002223
Sourcils manquants	HP:0002223
Sourcils absents	HP:0002223
Aplasie des sourcils	HP:0002223
Sourcil absent	HP:0002223
Agénésie des sourcils	HP:0002223
Perte de sourcils	HP:0002223
Échec du développement des sourcils	HP:0002223
Cheveux laineux	HP:0002224
Texture de cheveux en couches	HP:0002224
Cheveux afro-texturés	HP:0002224
Cheveux plissés	HP:0002224
Cheveux laineux	HP:0002224
Texture de cheveux crépus	HP:0002224
Poils pubiens clairsemés	HP:0002225
poils pubiens clairsemés à absents	HP:0002225
Poils pubiens clairsemés	HP:0002225
Diminution des cheveux sexuels	HP:0002225
Sourcil blanc	HP:0002226
Sourcil blond	HP:0002226
Sourcil dépigmenté	HP:0002226
Sourcil gris	HP:0002226
Sourcil pâle	HP:0002226
Sourcil blanc	HP:0002226
Sourcil hypopigmenté	HP:0002226
Cils blancs	HP:0002227
Cils dépigmentés	HP:0002227
Cils pâles	HP:0002227
Cils blancs	HP:0002227
Cils gris	HP:0002227
Cils blonds	HP:0002227
Alopécie areata obsolète	HP:0002229
Hirsutisme généralisé	HP:0002230
Pilosité excessive sur le corps	HP:0002230
Hirsutisme généralisé	HP:0002230
Poils clairsemés	HP:0002231
Peu de poils du corps	HP:0002231
Poils clairsemés	HP:0002231
Poils clairsemés à absents	HP:0002231
Poils limités du corps	HP:0002231
Alopécie inégale	HP:0002232
Calvitie inégale	HP:0002232
Alopécie areata	HP:0002232
Calvitie précoce	HP:0002234
Calvitie précoce	HP:0002234
Pili canaliculi	HP:0002235
Balayage frontal des cheveux	HP:0002236
Cheveux frontaux balayés par le haut	HP:0002236
Capuche frontale	HP:0002236
Balayage frontal des cheveux	HP:0002236
Rosette	HP:0002236
Ligne frontale balayée vers le haut	HP:0002236
Motif de cheveux frontaux balayés par le haut	HP:0002236
Hémorragie gastro-intestinale	HP:0002239
Hémorragie gastro-intestinale	HP:0002239
Hémorragie gastro-intestinale	HP:0002239
Hémorragie gastro-intestinale	HP:0002239
Hépatomégalie	HP:0002240
Foie hypertrophié	HP:0002240
Morphologie intestinale anormale	HP:0002242
Entéropathie	HP:0002242
Anomalie de l'intestin	HP:0002242
Entéropathie perdante en protéines	HP:0002243
Anomalie de l'intestin grêle	HP:0002244
Diverticule de Meckel	HP:0002245
Morphologie anormale du duodénum	HP:0002246
Anomalie du duodénum	HP:0002246
Atrésie duodénale	HP:0002247
Absence ou rétrécissement de la première partie de l'intestin grêle	HP:0002247
Hématémèse	HP:0002248
Vomir du sang	HP:0002248
Melena	HP:0002249
Excréments noirs	HP:0002249
Morphologie anormale du gros intestin	HP:0002250
Anomalie du gros intestin	HP:0002250
Mégacôlon aganglionnaire	HP:0002251
Mégacôlon congénital	HP:0002251
Mégacôlon Hirschsprung	HP:0002251
Maladie de Hirschsprung	HP:0002251
Mégacôlon	HP:0002251
Côlon élargi dépourvu de cellules nerveuses	HP:0002251
Diverticules coliques	HP:0002253
Diverticulose colique	HP:0002253
Diverticules du côlon	HP:0002253
Diarrhée intermittente	HP:0002254
Diarrhée épisodique	HP:0002254
Diarrhée intermittente	HP:0002254
Diverticules de l'intestin grêle	HP:0002256
Rhinite chronique	HP:0002257
Arc de Cupidon exagéré	HP:0002263
Lèvre supérieure de l'arc de Cupidon	HP:0002263
Arc de Cupidon, accentué	HP:0002263
Arc de Cupidon proéminent de la lèvre supérieure	HP:0002263
Lèvre supérieure en forme d'arc de Cupidon	HP:0002263
Arc de Cupidon exagéré	HP:0002263
Grandes oreilles charnues	HP:0002265
Grandes oreilles charnues	HP:0002265
Crise clonique focale	HP:0002266
Crise clonique segmentaire	HP:0002266
Crise clonique localisée	HP:0002266
Crise clonique localisée	HP:0002266
Crises cloniques focales	HP:0002266
Crise clonique partielle	HP:0002266
Réponse de surprise exagérée	HP:0002267
Augmentation de la réponse de sursaut	HP:0002267
Réponse de sursaut acoustique exagérée	HP:0002267
Hyperekplexie	HP:0002267
Dystonie paroxystique	HP:0002268
Dystonie épisodique	HP:0002268
Anomalie de la migration neuronale	HP:0002269
Trouble de la migration neuronale	HP:0002269
Migration neuronale anormale	HP:0002269
Hétérotopies / migration anormale	HP:0002269
Trouble cérébral migratoire	HP:0002269
Anomalie du système nerveux autonome	HP:0002270
dérégulation autonome obsolète	HP:0002271
Tétraparésie	HP:0002273
