Tous	HP:0000001
Disque intervertébral dégénératif	HP:0008419
Calcifications vertébrales ponctuées	HP:0008420
Grands corps vertébraux lombaires	HP:0008421
Calage vertébral	HP:0008422
Vertèbres en forme de coin	HP:0008422
calage antérieur	HP:0008422
Vertèbres en coin	HP:0008422
Dysplasie rachidienne	HP:0008423
5ème vertèbre lombaire hypoplasique	HP:0008424
5ème vertèbre lombaire sous-développée	HP:0008424
Corps vertébraux thoraco-lombaires de forme cuboïde	HP:0008425
Fente vertébrale	HP:0008428
Fentes vertébrales	HP:0008428
Bec antérieur des vertèbres lombaires	HP:0008430
Protrusion antérieure en forme de langue des corps vertébraux lombaires	HP:0008430
Calage antérieur de L1	HP:0008432
Courbes de colonne vertébrale habituelles inversées	HP:0008433
Vertèbres cervicales hypoplasiques	HP:0008434
Vertèbres cervicales sous-développées	HP:0008434
Hypoplasie des vertèbres cervicales	HP:0008434
Absent dans l'ossification utéro des corps vertébraux	HP:0008435
Coccyx absent / hypoplasique	HP:0008436
Absent / petit coccyx	HP:0008436
Coccyx absent / sous-développé	HP:0008436
Vertèbres thoraciques bifides	HP:0008437
Anomalie de la voûte vertébrale	HP:0008438
Anomalies de l'arcade vertébrale	HP:0008438
Hémivertèbres lombaires	HP:0008439
Anomalie vertébrale C1-C2	HP:0008440
Hernie des noyaux intervertébraux	HP:0008441
Noyaux intervertébraux herniés	HP:0008441
Hernie discale	HP:0008441
Hyperostose vertébrale	HP:0008442
Déformations de la colonne vertébrale	HP:0008443
Calage postérieur des corps vertébraux	HP:0008444
Calage postérieur	HP:0008444
Sténose du canal rachidien cervical	HP:0008445
Canal rachidien cervical étroit	HP:0008445
Vertèbres coccygiennes hypoplasiques	HP:0008447
Fusion progressive de la colonne vertébrale cervicale	HP:0008449
Distance interpédiculaire vertébrale étroite	HP:0008450
Réduction des distances interpédiculaires	HP:0008450
Rétrécissement interpédiculaire	HP:0008450
Espace interpédiculaire étroit	HP:0008450
Distances interpédiculaires étroites	HP:0008450
Hypoplasie vertébrale postérieure	HP:0008451
Platyspondyly ultra-mince	HP:0008452
Cyphoscoliose congénitale	HP:0008453
Cyphose lombaire	HP:0008454
Déformation du gibbus lombaire	HP:0008454
Bas du dos arrondi	HP:0008454
Sacrum dysplasique	HP:0008455
Absence de certains os sacrés et coccygiens	HP:0008455
Agénésie sacrée partielle	HP:0008455
Dysgénésie sacrée	HP:0008455
Subluxation C2-C3	HP:0008456
Rétrécissement interpédiculaire caudal	HP:0008457
Rétrécissement caudal des distances interpédiculaires	HP:0008457
Scoliose congénitale progressive	HP:0008458
Agénésie vertébrale cervicale	HP:0008459
Agénésie des vertèbres cervicales	HP:0008459
Vertèbres cervicales manquantes	HP:0008459
Processus rachidiens hypoplasiques	HP:0008460
Processus rachidiens sous-développés	HP:0008460
Hypoplasie des facettes vertébrales cervicales	HP:0008461
Instabilité cervicale	HP:0008462
Hypoplasie vertébrale centrale	HP:0008463
Absence de processus épineux des vertèbres thoraciques et lombaires inférieures	HP:0008464
Vertèbre absente	HP:0008465
Vertèbres absentes	HP:0008465
Hémivertèbres thoraciques	HP:0008467
Hémivertèbres médio-thoraciques	HP:0008467
Segmentation sacrée anormale	HP:0008468
Dysplasie vertébrale cervicale	HP:0008469
Étroitesse interpédiculaire thoracique inférieure	HP:0008470
Étroitesse des distances interpédiculées dans les régions thoraciques inférieures	HP:0008470
Coccyx saillant proéminent	HP:0008472
Coccyx saillant proéminent	HP:0008472
Grand coccyx	HP:0008472
Diamètre du corps vertébral antéro-postérieur étroit	HP:0008473
Réduction du diamètre sagittal des vertèbres	HP:0008473
Réduction du diamètre antéro-postérieur des corps vertébraux	HP:0008473
Vertèbres sacrées hypoplasiques	HP:0008475
Plateaux sclérotiques irréguliers	HP:0008476
plaque d'extrémité irrégulière et dense	HP:0008476
Vertèbres cervicales mal ossifiées	HP:0008477
Modifications vertébrales de type Scheuermann	HP:0008478
Corps vertébraux hypoplasiques	HP:0008479
Petits corps vertébraux	HP:0008479
Petites vertèbres	HP:0008479
Dos sous-développés	HP:0008479
Spondylose cervicale	HP:0008480
arthrose cervicale	HP:0008480
Arthrite du cou	HP:0008480
Asymétrie des articulations des facettes vertébrales	HP:0008482
Corps vertébraux cervicaux avec diamètre antéropostérieur réduit	HP:0008483
Étroitesse interpédiculaire thoraco-lombaire	HP:0008484
Distance interpédiculée thoraco-lombaire étroite	HP:0008484
Rétrécissement interpédiculaire lombaire	HP:0008486
Diminution de la distance interpédiculaire des vertèbres lombaires	HP:0008486
Arrondi antérieur des corps vertébraux	HP:0008488
Spondylolisthésis à L5-S1	HP:0008489
Spondylolyse et spondylolisthésis de l5	HP:0008489
Défaut de segmentation sacrée	HP:0008490
Fermeture prématurée de la fontanelle antérieure	HP:0008491
Subluxation du cristallin inférieur	HP:0008494
Lentille subluxée inférieure	HP:0008494
Plusieurs rangées de cils	HP:0008496
Plusieurs rangées de cils	HP:0008496
Double rangée de cils	HP:0008496
Rangées supplémentaires de cils	HP:0008496
Deux rangées de cils	HP:0008496
Dysostose craniofaciale congénitale	HP:0008497
Pas de dentition permanente	HP:0008498
Absence de dents adultes	HP:0008498
Absence de dentition secondaire	HP:0008498
Dents adultes manquantes	HP:0008498
Pas de dentition secondaire	HP:0008498
Pas de dentition adulte	HP:0008498
Hypermétropie élevée	HP:0008499
Hypermétropie élevée	HP:0008499
Hypermétropie de haut grade	HP:0008499
Hypermétropie sévère	HP:0008499
Hypermétropie sévère	HP:0008499
Fente labiale et palatine médiane	HP:0008501
Fente labiale et palatine médiale	HP:0008501
Large fente labiale / palatine médiane	HP:0008501
Fente labiale / palatine médiane	HP:0008501
Fente labiale et palatine centrale	HP:0008501
Déficience auditive neurosensorielle modérée	HP:0008504
Surdité neurale modérée	HP:0008504
Ophtalmoparésie statique	HP:0008507
Apparence léonine âgée	HP:0008509
Opacité cornéenne postérieure centrale	HP:0008511
Déficience auditive conductrice bilatérale	HP:0008513
Surdité conductrice bilatérale	HP:0008513
Perte auditive conductrice bilatérale	HP:0008513
Aplasie / hypoplasie des vertèbres	HP:0008515
Vertèbres absentes / sous-développées	HP:0008515
Vertèbres absentes / petites	HP:0008515
Anomalie des apophyses épineuses vertébrales	HP:0008516
Aplasie / hypoplasie du sacrum	HP:0008517
Absent / petit sacrum	HP:0008517
Sacrum absent / sous-développé	HP:0008517
Aplasie / hypoplasie touchant la colonne vertébrale	HP:0008518
Dos absent / petit	HP:0008518
Squelette absent / petit	HP:0008518
Colonne vertébrale absente / petite	HP:0008518
Squelette absent / sous-développé	HP:0008518
Colonne vertébrale absente / sous-développée	HP:0008518
Colonne vertébrale absente / sous-développée	HP:0008518
Morphologie anormale du coccyx	HP:0008519
Coccyx anormal	HP:0008519
Anomalie du coccyx	HP:0008519
Fosse d'hélice postérieure	HP:0008523
Indentation à l'arrière de l'oreille externe	HP:0008523
Oreille, rainure hélicoïdale postérieure	HP:0008523
Oreille, encoche hélicoïdale postérieure	HP:0008523
Helix, fosse postérieure	HP:0008523
Fosses dans la face postérieure des hélices de l'oreille	HP:0008523
Déficience auditive neurosensorielle congénitale	HP:0008527
Surdité perceptive congénitale	HP:0008527
Perte auditive neurosensorielle congénitale	HP:0008527
Surdité neurosensorielle congénitale	HP:0008527
Perte auditive neurosensorielle congénitale	HP:0008527
Surdité neurosensorielle congénitale	HP:0008527
Surdité neurosensorielle congénitale bilatérale	HP:0008527
Poils longs poussant à partir de l'hélice de pinna	HP:0008528
Poils d'oreille	HP:0008528
Poils longs poussant de l'hélice de l'oreille	HP:0008528
Absence de réflexe acoustique	HP:0008529
Absence de réflexes musculaires acoustiques de l'oreille moyenne	HP:0008529
Réflexes de l'oreille moyenne absents	HP:0008529
Fente à la partie supérieure du pavillon	HP:0008537
Fente à la partie supérieure de l'oreille	HP:0008537
Oreilles déplacées de manière supérieure	HP:0008541
Oreilles attachées hautes	HP:0008541
Perte auditive basse fréquence	HP:0008542
Perte auditive basse fréquence	HP:0008542
Hélice pliée anormalement	HP:0008544
Microtie	HP:0008551
Hypoplasie de l'oreille externe	HP:0008551
Pavillon hypoplasique	HP:0008551
Microtie bilatérale	HP:0008551
Petites oreilles	HP:0008551
Oreilles hypoplasiques	HP:0008551
Petits pennes	HP:0008551
Oreilles sous-développées	HP:0008551
Malformation cochléaire	HP:0008554
Fonction vestibulaire absente	HP:0008555
Hélice supérieure hypoplastique	HP:0008559
Hélices supérieures sous-développées	HP:0008559
Aréflexie vestibulaire	HP:0008568
Ataxie vestibulaire	HP:0008568
Microtie, deuxième degré	HP:0008569
Oreille d'escargot	HP:0008569
Mini oreille	HP:0008569
Oreille creuse sévère, type III	HP:0008569
Oreille de coquille	HP:0008569
Oreille de coquillage	HP:0008569
Hélice étranglée de type IV	HP:0008569
Oreille, dysplasie de grade II	HP:0008569
Malformation de l'oreille externe	HP:0008572
Malformation de l'oreille externe	HP:0008572
Déficience auditive neurosensorielle basse fréquence	HP:0008573
Perte auditive neurosensorielle basse fréquence	HP:0008573
Hélice sous pliée	HP:0008577
Hélices mal pliées	HP:0008577
Hélices supérieures sous pliées	HP:0008583
Hypoplasie de la cochlée	HP:0008586
Cochlée hypoplasique	HP:0008586
Cochlée sous-développée	HP:0008586
Déficience auditive neurosensorielle légère	HP:0008587
Perte auditive neurosensorielle légère	HP:0008587
Ouverture en forme de fente du méat auditif extérieur	HP:0008588
Hélices hypoplastiques	HP:0008589
Hélices sous-développées	HP:0008589
Déficience auditive conductrice congénitale	HP:0008591
Perte auditive conductrice congénitale	HP:0008591
Surdité conductrice congénitale	HP:0008591
Antitragus proéminent	HP:0008593
Antitragus élargi	HP:0008593
Antitragus hyperplasique	HP:0008593
Antitragus hypertrophique	HP:0008593
Déficience auditive neurosensorielle postlinguale	HP:0008596
Déficience auditive légère de la conductivité	HP:0008598
Perte auditive conductrice, légère	HP:0008598
Déformation de l'oreille externe unilatérale	HP:0008605
Oreille externe déformée d'un côté	HP:0008605
Fosse supraauriculaire	HP:0008606
Sinus supraauriculaires	HP:0008606
Fistule supraauriculaire	HP:0008606
Pit au-dessus de l'oreille	HP:0008606
Sinus supraauriculaire	HP:0008606
Déficience auditive progressive de la conductivité	HP:0008607
Surdité conductrice progressive	HP:0008607
Cartilage auriculaire hypertrophique	HP:0008608
Anomalie morphologique de l'oreille moyenne	HP:0008609
Malformation de l'oreille moyenne	HP:0008609
Anomalie morphologique de l'oreille moyenne	HP:0008609
Déficience auditive neurosensorielle infantile	HP:0008610
Perte auditive neurosensorielle infantile	HP:0008610
Déficience auditive neurosensorielle de l'adulte	HP:0008615
Perte auditive neurosensorielle tardive	HP:0008615
Surdité neurosensorielle d'apparition tardive	HP:0008615
Déficience auditive neurosensorielle bilatérale	HP:0008619
Surdité neurosensorielle bilatérale	HP:0008619
Surdité nerveuse bilatérale	HP:0008619
Perte auditive neurosensorielle bilatérale	HP:0008619
Perte auditive, neurosensorielle, bilatérale	HP:0008619
Déficience auditive neurosensorielle sévère	HP:0008625
Surdité neurosensorielle sévère	HP:0008625
Perte auditive neurosensorielle sévère	HP:0008625
Anomalie des stapes	HP:0008628
Anomalies stapédiennes	HP:0008628
Acouphènes pulsatiles	HP:0008629
Dysgénésie urétérale	HP:0008631
Agonadisme	HP:0008633
Agénésie gonadique	HP:0008633
Absence de tissu gonadique	HP:0008633
Hypertrophie de la vessie	HP:0008635
Vessie hypertrophique	HP:0008635
Glomérulopathie lobulaire	HP:0008636
Hypoplasie gonadique	HP:0008639
Gonade sous-développée	HP:0008639
Macroorchidie congénitale	HP:0008640
Néphroblastomatose	HP:0008643
Échec du développement pubertaire chez les femmes	HP:0008647
Méat urétral déplacé antérieurement	HP:0008648
Lithiase urinaire d'acide urique indépendante de la goutte	HP:0008651
Dysfonction érectile autonome	HP:0008652
Impuissance due à un dysfonctionnement autonome	HP:0008652
Glomérulonéphrite croissant	HP:0008653
Aplasie / hypoplasie de la trompe de Fallope	HP:0008655
Trompe de Fallope absente / sous-développée	HP:0008655
Absence / petite trompe de Fallope	HP:0008655
Trompes de Fallope absentes ou rudimentaires	HP:0008655
Pseudohermaphrodisme masculin incomplet	HP:0008656
Plusieurs petits kystes rénaux médullaires	HP:0008659
Maladie kystique médullaire	HP:0008659
Maladie rénale de l'éponge médullaire	HP:0008659
Dysgénésie rénotubulaire	HP:0008660
Dysgénésie tubulaire rénale	HP:0008660
Sténose urétrale	HP:0008661
Rétrécissement de l'urètre	HP:0008661
Sarcome rénal	HP:0008663
Sclérose du sphincter urétral	HP:0008664
Hypertrophie clitoridienne	HP:0008665
Clitoromégalie	HP:0008665
Clitoris hypertrophique	HP:0008665
Agrandissement clitoridien	HP:0008665
Clitoris élargi	HP:0008665
Clitoris proéminent	HP:0008665
Absorption tubulaire rénale diminuée d'histidine	HP:0008666
Dysgénésie gonadique, homme	HP:0008668
46, dysgénésie gonadique xy	HP:0008668
Spermatogenèse anormale	HP:0008669
Développement anormal des spermatozoïdes	HP:0008669
Spermatogenèse altérée	HP:0008669
Septum vaginal partiel	HP:0008670
Néphrolithiase à oxalate de calcium	HP:0008672
Calculs rénaux d'oxalate de calcium	HP:0008672
Néphrolithiase à oxalate de calcium	HP:0008672
Calcul rénal d'oxalate de calcium	HP:0008672
Néphrolithiase oxalate	HP:0008672
Lithiase urinaire à l'oxalate de calcium	HP:0008672
Lithiase urinaire d'oxalate de calcium	HP:0008672
Lithiase urinaire d'oxalate de Ca2 +	HP:0008672
Calculs rénaux d'oxalate de Ca2 +	HP:0008672
Néphrolithiase à oxalate de Ca2 +	HP:0008672
Ovaires polykystiques élargis	HP:0008675
Ovaires hypertrophiés avec kystes	HP:0008675
Mégaurètre congénital	HP:0008676
Mégalourètre congénital	HP:0008676
Syndrome néphrotique congénital	HP:0008677
Néphrose congénitale	HP:0008677
Hypoplasie / aplasie rénale	HP:0008678
Agénésie / hypoplasie rénale	HP:0008678
Absent / petit rein	HP:0008678
Aplasie / hypoplasie rénale	HP:0008678
Rein absent / sous-développé	HP:0008678
Nécrose épithéliale tubulaire rénale	HP:0008682
Nécrose tubulaire rénale	HP:0008682
Nécrose tubulaire aiguë	HP:0008682
Grandes lèvres mineures	HP:0008683
Hypertrophie des petites lèvres	HP:0008683
Petites lèvres hypertrophiques	HP:0008683
Aplasie / hypoplasie de l'utérus	HP:0008684
Utérus absent / petit	HP:0008684
Utérus absent / sous-développé	HP:0008684
Hypoplasie de la prostate	HP:0008687
Prostate sous-développée	HP:0008687
Prostate hypoplasique	HP:0008687
Cryptorchidie bilatérale	HP:0008689
Cryptorchidie, bilatérale	HP:0008689
Diverticule de la vessie solitaire	HP:0008691
petites lèvres hypertrophiques obsolètes	HP:0008694
Syndrome néphrotique transitoire	HP:0008695
Néphrose transitoire	HP:0008695
Hamartome rénal	HP:0008696
Hypoplasie de la trompe de Fallope	HP:0008697
Trompe de Fallope sous-développée	HP:0008697
Trompes de Fallope rudimentaires	HP:0008697
Absence d'organes génitaux internes	HP:0008702
Calcification gonadique	HP:0008703
Triplication urétérale	HP:0008705
Duplication urétrale distale	HP:0008706
Scrotum absent	HP:0008707
Scrotum absent	HP:0008707
Développement partiel de la tige du pénis	HP:0008708
Hyperplasie bénigne de la prostate	HP:0008711
Hypertrophie bénigne de la prostate	HP:0008711
Sténose urétérovésicale	HP:0008714
Dysgénésie testiculaire	HP:0008715
Fistule uréthrovaginale	HP:0008716
Fistules uréthrovaginales	HP:0008716
Atrophie rénale unilatérale	HP:0008717
Dégénérescence rénale d'un côté	HP:0008717
Dépérissement rénal unilatéral	HP:0008717
Dysplasie rénale unilatérale	HP:0008718
Échec testiculaire primaire	HP:0008720
Diverticule urétral	HP:0008722
Dysgénésie gonadique d'apparence féminine, homme	HP:0008723
Dysgénésie gonadique féminine XY	HP:0008723
Hypoplasie de l'ovaire	HP:0008724
Ovaire hypoplasique	HP:0008724
Ovaire sous-développé	HP:0008724
Hypoplasie du vagin	HP:0008726
Vagin sous-développé	HP:0008726
Vagin hypoplasique	HP:0008726
Vagin rudimentaire	HP:0008726
Absence de grandes lèvres	HP:0008729
Lèvres vaginales absentes	HP:0008729
Organes génitaux externes féminins chez un individu avec caryotype 46, XY	HP:0008730
Hommes avec organes génitaux externes féminins	HP:0008730
Hypophosphatémie rénale	HP:0008732
Testicules dysplasiques	HP:0008733
Diminution de la taille des testicules	HP:0008734
Petits testicules	HP:0008734
Hypoplasie testiculaire	HP:0008734
Diminution de la taille des testicules	HP:0008734
Testicules hypoplasiques	HP:0008734
Petit testicule	HP:0008734
Hypoplasie du pénis	HP:0008736
Pénis sous-développé	HP:0008736
Rein partiellement dupliqué	HP:0008738
Rein partiellement dupliqué	HP:0008738
Pseudohypertrophie labiale	HP:0008739
Septum vaginal longitudinal	HP:0008740
Septum vaginal vertical	HP:0008740
Barre médiane de la prostate proéminente	HP:0008742
Hypospadias coronaire	HP:0008743
Hypospadias sous-coronal	HP:0008743
Morphologie anormale du pli aryépiglottique	HP:0008744
Plis aryépiglottiques anormaux	HP:0008744
Anomalie du pli aryépiglottique	HP:0008744
Ossification cartilagineuse du larynx	HP:0008747
Hypoplasie laryngée	HP:0008749
Larynx hypoplasique	HP:0008749
Atrésie du larynx	HP:0008750
Fente laryngée	HP:0008751
Fente laryngotrachéo-œsophagienne i	HP:0008751
Fente laryngotrachéale	HP:0008751
Malformation du cartilage laryngé	HP:0008752
Atteinte vocale, sévère, due à des anomalies du cartilage laryngé	HP:0008752
Aplasie de l'épiglotte	HP:0008753
Épiglotte absente	HP:0008753
Calcification du larynx	HP:0008754
Calcifications du larynx	HP:0008754
Laryngotrachéomalacie	HP:0008755
courbure des cordes vocales	HP:0008756
Paralysie unilatérale des cordes vocales	HP:0008757
Paralysie unilatérale de la corde vocale	HP:0008757
Comportement violent	HP:0008760
Comportement violent	HP:0008760
Comportement violent	HP:0008760
Comportement compulsif répétitif	HP:0008762
Comportement compulsif répétitif	HP:0008762
Comportement compulsif répétitif	HP:0008762
Aucune interaction sociale	HP:0008763
Aucune interaction sociale	HP:0008763
Des hallucinations auditives	HP:0008765
Audition des sons	HP:0008765
Hallucinations sonores	HP:0008765
Auto-mutilation de la langue et des lèvres due à des mouvements involontaires	HP:0008767
Auto-mutilation de la langue et des lèvres due à des mouvements involontaires	HP:0008767
Comportement sexuel inapproprié	HP:0008768
Comportement sexuel inapproprié	HP:0008768
Comportement sexuel inapproprié	HP:0008768
Trait obsessionnel-compulsif	HP:0008770
Traits obsessionnels-compulsifs	HP:0008770
Trait obsessionnel-compulsif	HP:0008770
Aplasie / hypoplasie de l'oreille	HP:0008771
Oreille absente / petite	HP:0008771
Oreille absente / sous-développée	HP:0008771
Aplasie / hypoplasie de l'oreille externe	HP:0008772
Oreille externe absente / sous-développée	HP:0008772
Oreille externe absente / petite	HP:0008772
Aplasie / hypoplasie de l'oreille moyenne	HP:0008773
Oreille moyenne absente / petite	HP:0008773
Hypoplasie / aplasie de l'oreille moyenne	HP:0008773
Structures de l'oreille moyenne hypoplasiques / aplasiques	HP:0008773
Oreille moyenne absente / sous-développée	HP:0008773
Aplasie / hypoplasie de l'oreille interne	HP:0008774
Oreille interne absente / petite	HP:0008774
Oreille interne absente / sous-développée	HP:0008774
Morphologie anormale de la prostate	HP:0008775
Anomalie de la prostate	HP:0008775
Morphologie anormale de l'artère rénale	HP:0008776
Artère rénale anormale	HP:0008776
Anomalie de l'artère rénale	HP:0008776
Morphologie anormale des cordes vocales	HP:0008777
Anomalie des cordes vocales	HP:0008777
Luxation bilatérale congénitale de la hanche	HP:0008780
Métaphyse fémorale proximale large	HP:0008783
Large métaphyse du fémur le plus interne	HP:0008783
Épiphyses fémorales larges	HP:0008784
Partie large de l'extrémité la plus interne de la cuisse	HP:0008784
Retard de l'ossification des branches pubiennes	HP:0008785
Dentelure de la crête iliaque	HP:0008786
Aspect dentelé de la crête iliaque	HP:0008786
Crête iliaque irrégulière en dentelle	HP:0008786
Retard de l'ossification de l'os pubien	HP:0008788
Minéralisation retardée de l'os pubien	HP:0008788
Absence d'ossification pubienne pendant la petite enfance	HP:0008788
Maturation retardée de l'os pubien	HP:0008788
Épiphyse fémorale capitale en forme de cône	HP:0008789
Partie d'extrémité en forme de cône de l'os de la cuisse la plus interne	HP:0008789
Ailes iliaques dysplasiques	HP:0008794
Hanches tournées vers l'extérieur	HP:0008796
Hanches tournées vers l'extérieur	HP:0008796
Ossification précoce des épiphyses fémorales capitales	HP:0008797
Grande échancrure sciatique élargie	HP:0008798
Élargissement de l'encoche sacrosciatique	HP:0008798
Échancrure sacrosciatique élargie	HP:0008798
Mouvement limité de la hanche	HP:0008800
Mouvement limité de la hanche	HP:0008800
Hypoplasie du petit trochanter	HP:0008801
Hypoplasie du petit trochanter	HP:0008801
Hypoplasie de la tête fémorale	HP:0008802
Tête fémorale hypoplasique	HP:0008802
Petites têtes fémorales	HP:0008802
Petite tête d'os de la cuisse	HP:0008802
Encoche sacro-iliaque étroite obsolète	HP:0008803
Tête fémorale large	HP:0008804
Tête large de l'os de la cuisse	HP:0008804
Dysplasie acétabulaire	HP:0008807
Acétabules dysplasiques	HP:0008807
Ailes iliaques hautes	HP:0008808
Ailes iliaques étroites et hautes	HP:0008808
Tête fémorale aplatie	HP:0008812
Têtes fémorales aplaties	HP:0008812
Tête plate de l'os de la cuisse	HP:0008812
Os pubiens aplasiques	HP:0008817
Os pubiens absents	HP:0008817
Grandes ailes iliaques	HP:0008818
Col fémoral étroit	HP:0008819
Cols fémoraux étroits	HP:0008819
Col étroit de l'os de la cuisse	HP:0008819
Absence d'ossification de l'épiphyse fémorale capitale	HP:0008820
Absence d'ossification des épiphyses capitales fémorales	HP:0008820
Ilia inférieur hypoplasique	HP:0008821
Rami ischiopubiens hypoplasiques	HP:0008822
Rami pubien inférieur hypoplasique	HP:0008823
Corps iliaque hypoplasique	HP:0008824
Corps iliaques hypoplasiques	HP:0008824
Petits corps iliaques	HP:0008824
Luxation de la tête fémorale	HP:0008826
Têtes fémorales disloquées	HP:0008826
Tête disloquée de l'os de la cuisse	HP:0008826
Retard de l'ossification épiphysaire fémorale proximale	HP:0008828
Retard de l'ossification de l'épiphyse fémorale proximale	HP:0008828
Épiphyses fémorales proximales à ossification retardée	HP:0008828
Retard de l'ossification de la tête fémorale	HP:0008829
Maturation retardée de la tête de l'os de la cuisse	HP:0008829
Rami pubien hypoplasique	HP:0008830
Toit acétabulaire irrégulier	HP:0008833
Ossification multicentrique de la tête fémorale	HP:0008835
Épiphyses humérales proximales de calcification pointillée	HP:0008838
Calcifications mouchetées dans la partie terminale de l'os long le plus interne de la partie supérieure du bras	HP:0008838
Bassin hypoplasique	HP:0008839
Petit bassin	HP:0008839
Os pelviens hypoplasiques	HP:0008839
Arthrose de la hanche	HP:0008843
Arthrose de la hanche	HP:0008843
Petite taille mésomélique	HP:0008845
Nanisme, mésomélique des membres courts	HP:0008845
Petite taille, mésomélique disproportionnée	HP:0008845
Petite taille, mésomélique	HP:0008845
Nanisme mésomélique	HP:0008845
Retard de croissance intra-utérin sévère	HP:0008846
Retard de croissance intra-utérin, sévère	HP:0008846
Déficit de croissance prénatal sévère	HP:0008846
Taille modérément courte	HP:0008848
Petite taille modérée	HP:0008848
Petite taille, modérée	HP:0008848
Retard de croissance postnatal sévère	HP:0008850
Déficit de croissance postnatal sévère	HP:0008850
Retard de croissance sévère chez les enfants	HP:0008850
Retard de croissance marqué	HP:0008850
Retard de croissance postnatal sévère	HP:0008850
Retard de croissance postnatal modéré	HP:0008855
Retard de croissance modéré chez les enfants	HP:0008855
Petite taille néonatale à tronc court	HP:0008857
Nanisme à tronc court identifiable à la naissance	HP:0008857
Défaillance de la croissance secondaire à des infections récurrentes	HP:0008866
Changement de poids secondaire à des infections récurrentes	HP:0008866
Perte de poids secondaire à des infections récurrentes	HP:0008866
Difficultés d'alimentation pendant la petite enfance	HP:0008872
Taille courte disproportionnée des membres courts	HP:0008873
Nanisme à membres courts	HP:0008873
Nanisme des membres courts	HP:0008873
Nanisme des membres courts	HP:0008873
Nanisme disproportionné des membres courts	HP:0008873
Nanisme brachymélique	HP:0008873
Nanisme, à membres courts	HP:0008873
Nanisme des membres courts, disproportionné	HP:0008873
Petite taille, membre court disproportionné	HP:0008873
Nanisme micromélique	HP:0008873
Petite taille, membre court disproportionné	HP:0008873
Retard de croissance intra-utérin léger	HP:0008883
Déficience de croissance prénatale légère	HP:0008883
Perte de tissu adipeux	HP:0008887
Perte de tissu adipeux	HP:0008887
Nanisme sévère des membres courts	HP:0008890
Retard de croissance postnatal	HP:0008897
Retard de croissance chez les enfants	HP:0008897
Retard de croissance chez les enfants	HP:0008897
Déficit de croissance postnatale	HP:0008897
Décélération de la croissance postnatale	HP:0008897
Retard de croissance postnatal	HP:0008897
Rhizomélie	HP:0008905
Petite taille rhizomélique	HP:0008905
Partie supérieure du membre disproportionnellement courte	HP:0008905
Raccourcissement symétrique des membres rhizoméliques	HP:0008905
Shortening rhizomélique	HP:0008905
Petite taille, rhizomélique	HP:0008905
Nanisme rhizomélique	HP:0008905
Raccourcissement des membres rhizoméliques	HP:0008905
Membres courts rhizoméliques	HP:0008905
Petite taille mortelle à membres courts	HP:0008909
Nanisme mortel à membres courts	HP:0008909
Nanisme micromélique mortel	HP:0008909
Obésité tronculaire de l'enfance	HP:0008915
Obésité tronculaire apparente dans l'enfance	HP:0008915
Petite taille néonatale des membres courts	HP:0008921
Nanisme, membres courts néonatals	HP:0008921
Nanisme des membres courts identifiable à la naissance	HP:0008921
Nanisme des membres courts identifiable au nouveau-né	HP:0008921
Nanisme à membres courts identifiable à la naissance	HP:0008921
Nanisme des membres courts reconnaissable à la naissance	HP:0008921
Nanisme néonatal à membres courts	HP:0008921
Taille courte du tronc court dès l'enfance	HP:0008922
Taille courte disproportionnée du tronc court, identifiable dans l'enfance	HP:0008922
Taille courte du tronc court dès l'enfance	HP:0008922
Nanisme à tronc court identifiable pendant l'enfance	HP:0008922
Petite taille asymétrique	HP:0008929
Hypotonie néonatale généralisée	HP:0008935
Hypotonie néonatale généralisée	HP:0008935
Hypotonie, néonatale, généralisée	HP:0008935
Faible tonus musculaire généralisé chez le nouveau-né	HP:0008935
Hypotonie musculaire du tronc	HP:0008936
Hypotonie axiale	HP:0008936
Hypotonie tronculaire	HP:0008936
Faible tonus musculaire dans le tronc	HP:0008936
Lymphadénopathie généralisée	HP:0008940
Ganglions lymphatiques enflés affectant toutes les régions du corps	HP:0008940
Gonflement généralisé des ganglions lymphatiques	HP:0008940
Lymphadénopathie généralisée	HP:0008940
Rhabdomyolyse aiguë	HP:0008942
Rhabdomyolyse, aiguë	HP:0008942
Amyotrophie distale des membres inférieurs	HP:0008944
Dégénérescence des membres inférieurs	HP:0008944
Amyotrophie de la jambe inférieure	HP:0008944
Hypotrophie musculaire des membres inférieurs	HP:0008944
Atrophie des membres inférieurs	HP:0008944
Atrophie musculaire, membre inférieur, distal	HP:0008944
Perte de la capacité de marcher dans la petite enfance	HP:0008945
Amyotrophie de la ceinture pelvienne	HP:0008946
Amyotrophie de la ceinture de hanche	HP:0008946
Hypotonie musculaire infantile	HP:0008947
Hypotonie dans la petite enfance	HP:0008947
Diminution du tonus musculaire chez le nourrisson	HP:0008947
Hypotonie précoce	HP:0008947
Hypotonie infantile	HP:0008947
Hypotonie, précoce	HP:0008947
Amyotrophie du membre supérieur proximal	HP:0008948
Atrophie musculaire proximale des membres supérieurs	HP:0008948
Atrophie musculaire proximale des membres supérieurs	HP:0008948
Hypoplasie musculaire de l'épaule	HP:0008952
Muscle de l'épaule sous-développé	HP:0008952
Hypoplasie majeure du pectoral	HP:0008953
Hypoplasie des muscles pectoraux majeurs	HP:0008953
Atrophie musculaire intrinsèque de la main	HP:0008954
